# RELATÓRIO FINAL - MÁQUINAS QUE PRECISAM ATUALIZAR
# Gerado em: 21/08/2025 às 10:19:51
# Total com pendências: 1263
# Debian != 12: 1000 | Chrome < 139: 997 | Firefox < 115: 708
#
# IP | Hostname | Debian | Chrome | Firefox | Status
==============================================================================================================

192.168.22.31   | pmjs156882           | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.22.38   | pmjs102295           | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.22.33   | pmjs135915           | Debian 10          | 124.0.6367.118            | 91.12.0esr      | PRECISA ATUALIZAR: Chrome, Debian, Firefox
192.168.22.27   | pmjs112210           | Debian 12          | 133.0.6943.141            | 128.5.0esr      | PRECISA ATUALIZAR: Chrome
192.168.22.184  | pmjs135951           | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.23.31   | s1858                | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.23.29   | pmjs127038           | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.24.55   | pmjs135887           | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.24.51   | pmjs135905           | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.24.88   | pmjs135967           | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.24.54   | pmjs135923           | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.24.42   | pmjs135901           | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.24.50   | pmjs135919           | Debian 11          | 121.0.6167.160            | 102.15.0esr     | PRECISA ATUALIZAR: Chrome, Debian, Firefox
192.168.24.31   | pmjs135941           | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.24.106  | pmjs135908           | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.24.113  | pmjs167813           | Debian 12          | 137.0.7151.68             | 128.10.0esr     | PRECISA ATUALIZAR: Chrome
192.168.24.109  | pmjs135940           | Debian 11          | 108.0.5359.98             | 102.5.0esr      | PRECISA ATUALIZAR: Chrome, Debian, Firefox
192.168.24.189  | pmjs135944           | Debian 11          | 135.0.7049.84             | 128.14.0esr     | PRECISA ATUALIZAR: Chrome, Debian
192.168.24.185  | pmjs135882           | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.24.190  | est3441              | Debian 11          | 94.0.4606.71              | 78.14.0esr      | PRECISA ATUALIZAR: Chrome, Debian, Firefox
192.168.25.66   | est3283              | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.25.98   | pmjs112203           | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.25.43   | est3285              | Debian 11          | 101.0.4951.54             | 91.9.0esr       | PRECISA ATUALIZAR: Chrome, Debian, Firefox
192.168.25.36   | est3286              | Debian 11          | 133.0.6943.98             | 128.7.0esr      | PRECISA ATUALIZAR: Chrome, Debian
192.168.25.118  | est1839              | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.25.121  | est3333              | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.25.48   | est3291              | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.25.201  | est3255              | Debian 12          | 133.0.6943.126            | 128.5.0esr      | PRECISA ATUALIZAR: Chrome
192.168.25.209  | est1999              | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.30.110  | pmjs155450           | Debian 11          | 96.0.4664.45              | 91.12.0esr      | PRECISA ATUALIZAR: Chrome, Debian, Firefox
192.168.30.122  | pmjs155452           | Debian 11          | 96.0.4664.45              | 91.11.0esr      | PRECISA ATUALIZAR: Chrome, Debian, Firefox
192.168.30.163  | pmjs156865           | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.30.160  | pmjs156868           | Debian 11          | 139.0.7258.138            | 128.13.0esr     | PRECISA ATUALIZAR: Debian
192.168.30.175  | pmjs156869           | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.30.200  | pmjs155453           | Debian 11          | 103.0.5060.134            | 91.12.0esr      | PRECISA ATUALIZAR: Chrome, Debian, Firefox
192.168.32.222  | pmjs100650           | Debian 11          | 100.0.4896.60             | 115.7.0esr      | PRECISA ATUALIZAR: Chrome, Debian
192.168.32.227  | pmjs100614           | Debian 11          | 99.0.4844.74              | 115.13.0esr     | PRECISA ATUALIZAR: Chrome, Debian
192.168.33.51   | pmjs103511           | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.33.21   | pmjs103506           | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.33.75   | pmjs103490           | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.33.72   | pmjs103503           | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.33.81   | pmjs103509           | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.33.71   | pmjs103500           | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.33.77   | pmjs103508           | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.33.96   | pmjs103381           | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.33.79   | pmjs103510           | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.33.80   | pmjs103507           | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.33.73   | pmjs103502           | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.33.57   | pmjs102331           | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.33.83   | pmjs103368           | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.33.61   | pmjs103497           | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.33.97   | pmjs103376           | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.33.85   | pmjs103374           | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.33.82   | pmjs103512           | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.33.99   | pmjs103377           | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.33.93   | pmjs103375           | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.33.62   | pmjs103488           | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.33.60   | pmjs103494           | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.33.25   | pmjs103388           | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.33.26   | pmjs102299           | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.33.74   | pmjs103501           | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.33.90   | pmjs103370           | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.33.98   | pmjs103380           | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.33.89   | pmjs103367           | Debian 11          | 139.0.7258.138            | 128.14.0esr     | PRECISA ATUALIZAR: Debian
192.168.33.40   | s0047                | Debian 8           | 107.0.5304.121            | 68.9.0esr       | PRECISA ATUALIZAR: Chrome, Debian, Firefox
